id,dataset,kecamatan,gender,latitude,longitude,panjang,lebar,ac,air_panas,bak_mandi,bantal,bathtub,cctv,cermin,cleaning_service,dapur,dispenser,ember_mandi,guling,jemuran,kamar_mandi_dalam,kamar_mandi_luar,kartu_akses,kasur,kipas_angin,kloset_duduk,kloset_jongkok,kulkas,kursi,laundry,lemari_baju,locker,meja,meja_makan,microwave,mushola,parkir_mobil,parkir_motor,parkir_sepeda,penjaga_kos,rice_cooker,ruang_santai,shower,sofa,taman,termasuk_listrik,tv,wastafel,wifi,harga,luas,kategori_harga,total_facilities,jumlah_fasilitas_premium,jumlah_fasilitas_non_premium,jumlah_fasilitas_netral,luas_m2
0,itb,coblong,Kos Campur,-6.8775875,107.6147656,4,4,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,2049000,16,High,27,11,4,12,16
1,itb,cibeunying kaler,Kos Putra,-6.876360746,107.6233794,3,4,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1257000,12,Medium,17,6,3,8,12
2,itb,coblong,Kos Campur,-6.8775875,107.6147656,4,4,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1697000,16,Medium,27,10,4,13,16
3,itb,coblong,Kos Campur,-6.882192689,107.6190484,3,3,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1330000,9,Medium,22,6,6,10,9
4,itb,coblong,Kos Campur,-6.8775875,107.6147656,4,4,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,2305000,16,High,27,11,4,12,16
5,itb,coblong,Kos Campur,-6.88623715,107.6204239,4,3,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1897000,12,Medium,21,8,3,10,12
6,itb,coblong,Kos Campur,-6.88623715,107.6204239,4,3,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1564000,12,Medium,19,6,3,10,12
7,itb,coblong,Kos Campur,-6.875484,107.617516,3,4,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,2093000,12,High,21,10,2,9,12
8,itb,sukajadi,Kos Putra,-6.8818395,107.5982929,3,3.5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1020000,10.5,Medium,14,4,3,7,10.5
9,itb,sukajadi,Kos Putra,-6.8818395,107.5982929,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,975000,9,Low,13,4,2,7,9
10,itb,sukajadi,Kos Putra,-6.8818395,107.5982929,3.5,4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1245000,14,Medium,15,5,2,8,14
11,itb,sukajadi,Kos Putra,-6.8818395,107.5982929,2.5,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,835000,7.5,Low,13,4,2,7,7.5
12,itb,coblong,Kos Campur,-6.882896105,107.6209223,3,4,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1300000,12,Medium,20,5,6,9,12
13,itb,coblong,Kos Putra,-6.88646435,107.6250586,3,4,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1750000,12,Medium,21,8,2,11,12
