kecamatan,gender,latitude,longitude,luas_m2,harga,harga_per_m2
coblong,Kos Campur,-6.8775875,107.6147656,16.0,2049000,128062.5
cibeunying kaler,Kos Putra,-6.8763607455982,107.62337941381,12.0,1257000,104750.0
coblong,Kos Campur,-6.8775875,107.6147656,16.0,1697000,106062.5
coblong,Kos Campur,-6.8821926885901,107.61904839179,9.0,1330000,147777.77777777778
coblong,Kos Campur,-6.8775875,107.6147656,16.0,2305000,144062.5
coblong,Kos Campur,-6.886237150133,107.62042393791,12.0,1897000,158083.33333333334
coblong,Kos Campur,-6.886237150133,107.62042393791,12.0,1564000,130333.33333333333
coblong,Kos Campur,-6.875484,107.617516,12.0,2093000,174416.66666666666
sukajadi,Kos Putra,-6.8818395,107.5982929,10.5,1020000,97142.85714285714
sukajadi,Kos Putra,-6.8818395,107.5982929,9.0,975000,108333.33333333333
sukajadi,Kos Putra,-6.8818395,107.5982929,14.0,1245000,88928.57142857143
sukajadi,Kos Putra,-6.8818395,107.5982929,7.5,835000,111333.33333333333
coblong,Kos Campur,-6.8828961054128,107.62092232704,12.0,1300000,108333.33333333333
coblong,Kos Putra,-6.8864643495446,107.62505862862,12.0,1750000,145833.33333333334
coblong,Kos Campur,-6.8912455898163,107.62476958867,10.5,1348000,128380.95238095238
coblong,Kos Campur,-6.8939799038585,107.60388009186,10.5,2275000,216666.66666666666
coblong,Kos Putra,-6.8755376625223,107.61432418157,7.5,1830000,244000.0
cidadap,Kos Putra,-6.8756618943683,107.60398238206,9.0,781800,86866.66666666667
cidadap,Kos Putri,-6.882169,107.603662,6.25,1000000,160000.0
coblong,Kos Campur,-6.8939799038585,107.60388009186,9.0,1129000,125444.44444444444
coblong,Kos Putra,-6.8755376625223,107.61432418157,9.0,2185000,242777.77777777778
cidadap,Kos Campur,-6.878851,107.604271,9.0,718000,79777.77777777778
coblong,Kos Campur,-6.8912455898163,107.62476958867,10.5,1313000,125047.61904761905
coblong,Kos Putri,-6.8823223262891,107.61311658729,6.25,720200,115232.0
coblong,Kos Campur,-6.8939799038585,107.60388009186,18.0,2545000,141388.88888888888
cibeunying kaler,Kos Putra,-6.8965983,107.6281153,10.5,835000,79523.80952380953
cidadap,Kos Campur,-6.8724722,107.6034816,12.25,1313000,107183.67346938775
coblong,Kos Campur,-6.8757089412293,107.61319488287,12.0,1950000,162500.0
coblong,Kos Campur,-6.8828588251086,107.62090623379,12.0,1350000,112500.0
cibeunying kaler,Kos Campur,-6.8886745206269,107.62913497215,9.0,1100000,122222.22222222222
coblong,Kos Putra,-6.8755376625223,107.61432418157,22.5,3015000,134000.0
cicendo,Kos Campur,-6.9020892242147,107.59715938064,7.5,746600,99546.66666666667
coblong,Kos Putri,-6.881059,107.621186,20.0,2200000,110000.0
coblong,Kos Putra,-6.887059,107.619869,9.0,2000000,222222.22222222222
cibeunying kaler,Kos Putra,-6.8965983,107.6281153,9.0,790000,87777.77777777778
cidadap,Kos Campur,-6.8762515106792,107.60610211641,12.0,1700000,141666.66666666666
coblong,Kos Putra,-6.8744528853664,107.61389269949,9.0,817000,90777.77777777778
cibeunying kaler,Kos Putra,-6.8879323,107.6275914,12.0,1220000,101666.66666666667
coblong,Kos Putra,-6.8824590933815,107.6148970567,12.0,1697000,141416.66666666666
coblong,Kos Putra,-6.8865039,107.6189334,9.0,1150000,127777.77777777778
cidadap,Kos Campur,-6.8762515106792,107.60610211641,12.0,1150000,95833.33333333333
coblong,Kos Putra,-6.8807874336066,107.62163646519,9.0,2050000,227777.77777777778
cidadap,Kos Putri,-6.875713,107.606609,12.0,2200000,183333.33333333334
sukajadi,Kos Putri,-6.8929206,107.602113,9.0,988000,109777.77777777778
cidadap,Kos Campur,-6.8793438118487,107.59836494923,13.5,2500000,185185.1851851852
sukajadi,Kos Putri,-6.888765,107.597507,9.0,600000,66666.66666666667
coblong,Kos Campur,-6.87976,107.613289,12.0,2200000,183333.33333333334
cibeunying kaler,Kos Putri,-6.8809788288294,107.62300908566,9.0,1400000,155555.55555555556
cidadap,Kos Putra,-6.8756618943683,107.60398238206,12.0,935800,77983.33333333333
coblong,Kos Campur,-6.8773927,107.617262,12.0,1150000,95833.33333333333
coblong,Kos Campur,-6.8912455898163,107.62476958867,7.5,1150000,153333.33333333334
coblong,Kos Campur,-6.888485,107.603845,10.4,2500000,240384.61538461538
