id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_puskesmas,alamat,lat,long,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,AHMAD YANI,JL. CIANJUR,-6.9161,107.6333,2023
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,ANTAPANI,JL. MAJALAYA 2 NO. 31 RT 02 RW 02,-6.9134,107.6636,2023
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,ARCAMANIK,JL. OLAH RAGA NO. 7 RT 02 RW 09 ARCAMANIK -Â  BANDUNG,-6.9146,107.6786,2023
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,ASTANAANYAR,JL. RUSDAN NO. 1,-6.9337,107.6021,2023
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,BABAKAN SURABAYA,JL. ATLAS VII NO.25,-6.9175,107.6476,2023
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,BABAKAN TAROGONG,JL. BABAKAN TAROGONG NO.46,-6.9246,107.5952,2023
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273150,KIARACONDONG,32.73.16,KIARACONDONG,BABAKAN SARI,JL. BABAKAN SARI NO. 183,-6.9242,107.6547,2023
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,BABATAN,JL. BABATAN,-6.9186,107.6013,2023
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273170,SUMUR BANDUNG,32.73.19,SUMUR BANDUNG,BALAI KOTA,JL. WASTUKANCANA,-6.9122,107.6102,2023
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,CARINGIN,JL. CARINGIN NO. 103 KEC. BABAKAN CIPARAY 40223,-6.9457,107.5834,2023
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273101,GEDEBAGE,32.73.27,GEDEBAGE,CEMPAKA ARUM,JL. USMAN BIN AFAN,-6.9584,107.7068,2023
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,CITARIP,JL. CITARIP BARAT NO. 3,-6.9385,107.5883,2023
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,CIBADUYUT KIDUL,JL. SEWU NO.2,-6.9597,107.5912,2023
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,CIBADUYUT WETAN,JL. PITALOKA NO.1,-6.9569,107.5959,2023
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,CIBIRU,JL. MANISI NO. 87,-6.9307,107.7196,2023
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,CIBOLERANG,JL. CIBOLERANG NO. 187 KEL. MARGASUKA KEC. BABAKAN CIPARAY,-6.9505,107.5732,2023
